d3mIndex,User_country,Nr._reviews,Nr._hotel_reviews,Helpful_votes,Score_target,Period_of_stay,Traveler_type,Pool,Gym,Tennis_court,Spa,Casino,Free_internet,Hotel_name,Hotel_stars,Nr._rooms,User_continent,Member_years,Review_month,Review_weekday
478,Canada,123.0,26.0,63.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,4.0,December,Saturday
479,USA,24.0,7.0,6.0,4.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,1.0,December,Thursday
480,Canada,20.0,13.0,17.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,4.0,January,Monday
481,USA,15.0,3.0,4.0,3.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,7.0,January,Tuesday
482,Italy,189.0,72.0,129.0,4.0,Dec-Feb,Solo,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,Europe,3.0,February,Friday
483,USA,25.0,19.0,27.0,3.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,8.0,February,Monday
484,USA,33.0,11.0,12.0,5.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,4.0,March,Wednesday
485,USA,14.0,7.0,13.0,5.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,4.0,March,Thursday
486,USA,38.0,22.0,47.0,4.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,4.0,April,Monday
487,Egypt,169.0,43.0,85.0,4.0,Mar-May,Solo,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,Africa,12.0,April,Sunday
488,USA,20.0,17.0,21.0,3.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,4.0,May,Sunday
489,USA,17.0,10.0,18.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,3.0,May,Tuesday
490,USA,96.0,47.0,161.0,4.0,Jun-Aug,Solo,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,11.0,June,Monday
491,USA,38.0,13.0,11.0,3.0,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,5.0,June,Sunday
492,India,12.0,11.0,9.0,4.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,Asia,6.0,July,Monday
493,USA,9.0,8.0,1.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,6.0,July,Monday
494,USA,23.0,21.0,22.0,3.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,7.0,August,Wednesday
495,USA,21.0,6.0,3.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,5.0,August,Tuesday
496,USA,30.0,27.0,19.0,5.0,Sep-Nov,Solo,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,6.0,September,Friday
497,USA,63.0,16.0,59.0,3.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,11.0,September,Wednesday
498,UK,35.0,3.0,25.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,Europe,1.0,October,Monday
499,UK,15.0,4.0,8.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,Europe,1.0,October,Sunday
500,Canada,50.0,13.0,29.0,4.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,8.0,November,Thursday
501,USA,154.0,23.0,31.0,4.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,4.0,November,Thursday
502,USA,9.0,6.0,5.0,2.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,9.0,December,Wednesday
503,USA,20.0,19.0,112.0,4.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4.0,826.0,North America,5.0,December,Tuesday
